"Date","SiteName","WebUrl","CreatedDate","FileCount","StorageUsedGb","LastActivityDate","DaysAgo","Issue","Action","ActionTaken"
"2026-08-19","All Company","https://pineywoodsfl.sharepoint.com/sites/AllCompany.3547122.dsoizrga","2024-06-08T01:57:38Z","0","0","",,"Last activity more than 180 days ago","Disable site",
"2026-08-19","Camp Grove (Migrated) External Sharing Only","https://pineywoodsfl.sharepoint.com/sites/CampGrove","2025-03-06T21:41:17Z","9926","6.22","2025-05-23","453","Last activity more than 180 days ago","Disable site",
"2026-08-19","Courtney & Mom","https://pineywoodsfl.sharepoint.com/sites/CourtneyMom","2021-12-14T19:29:20Z","4","0","2024-03-12","890","Last activity more than 180 days ago","Disable site",
"2026-08-19","eDiscovery Center","https://pineywoodsfl.sharepoint.com/Sites/eDiscoveryCenter","2016-12-21T20:39:48Z","29","0","",,"Last activity more than 180 days ago","Disable site",
"2026-08-19","Main Conference Room","https://pineywoodsfl.sharepoint.com/sites/mainconferenceroom","2019-05-10T12:23:29Z","0","0","",,"Last activity more than 180 days ago","Disable site",
"2026-08-19","Pineywoods Benefits Team","https://pineywoodsfl.sharepoint.com/sites/pwbteam","2021-10-26T18:03:53Z","3","0","2021-11-25","1728","Last activity more than 180 days ago","Disable site",
"2026-08-19","Pineywoods Capital","https://pineywoodsfl.sharepoint.com/sites/capital","2016-02-08T15:30:53Z","118","0","2025-12-29","233","Last activity more than 180 days ago","Disable site",
"2026-08-19","Pineywoods Realty","https://pineywoodsfl.sharepoint.com/sites/realty","2016-02-08T15:39:45Z","112","0","2025-12-29","233","Last activity more than 180 days ago","Disable site",
"2026-08-19","Pineywoods Title","https://pineywoodsfl.sharepoint.com/sites/title","2016-02-08T15:49:15Z","269","0.97","2024-03-22","880","Last activity more than 180 days ago","Disable site",
"2026-08-19","Preston Archive","https://pineywoodsfl.sharepoint.com/sites/PrestonArchive","2021-08-11T21:34:44Z","2308780","415.99","2026-02-06","194","Last activity more than 180 days ago","Disable site",
"2026-08-19","PrestonFileShare","https://pineywoodsfl.sharepoint.com/sites/PrestonFileShare","2023-02-08T16:48:02Z","13","0.28","2024-09-16","702","Last activity more than 180 days ago","Disable site",
"2026-08-19","Team P-Woods","https://pineywoodsfl.sharepoint.com/sites/TeamP-Woods","2020-03-24T12:45:16Z","0","0","2020-08-20","2190","Last activity more than 180 days ago","Disable site",
"2026-08-19","Test","https://pineywoodsfl.sharepoint.com/sites/Test","2022-10-25T12:12:10Z","0","0","",,"Last activity more than 180 days ago","Disable site",
