"Date","UserLicense","ConsumedLicenses","MaxLicenses","UnusedLicenses","PercentageUsed"
"2026-08-19","Azure Active Directory Premium P2","21","21","0","100"
"2026-08-19","Exchange Online Archiving","6","6","0","100"
"2026-08-19","M365 Business Basic","1","1","0","100"
"2026-08-19","Microsoft Defender for O365 (Plan 1)","6","6","0","100"
"2026-08-19","Microsoft Fabric (Free)","2","1000000","999998","0"
"2026-08-19","Microsoft Power Automate Free","14","10000","9986","0"
"2026-08-19","O365 E1","0","0","0","0"
"2026-08-19","O365 E1 (No Teams)","6","6","0","100"
"2026-08-19","O365 E3 (No Teams)","14","14","0","100"
"2026-08-19","Teams Enterprise","20","20","0","100"
